ticker,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Sale Of Business,Net Income From Continuing Operations,Capital Expenditure Reported,Change In Other Working Capital,Change In Other Current Assets,Change In Accrued Expense,Change In Prepaid Assets,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Gain Loss On Investment Securities,Short Term Debt Payments,Short Term Debt Issuance,Provisionand Write Offof Assets,Issuance Of Capital Stock,Common Stock Issuance,Change In Other Current Liabilities,Unrealized Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Earnings Losses From Equity Investments,Other Cash Adjustment Inside Changein Cash,Net Preferred Stock Issuance,Preferred Stock Issuance,Net Foreign Currency Exchange Gain Loss,Amortization Of Securities,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Cash From Discontinued Financing Activities,Cash From Discontinued Investing Activities,Cash From Discontinued Operating Activities,Preferred Stock Dividend Paid,Dividend Received Cfo,Preferred Stock Payments,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Purchase Of Investment Properties,Other Cash Adjustment Outside Changein Cash,Change In Interest Payable,Dividends Received Cfi,Sale Of Intangibles,Excess Tax Benefit From Stock Based Compensation,Interest Received Cfi,Cash Flow From Discontinued Operation,Depletion,Interest Paid Cff,Taxes Refund Paid,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Paymentson Behalfof Employees,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities,Dividend Paid Cfo,Interest Paid Cfo
MMM,638000000.0,-1801000000.0,-2656000000.0,8367000000.0,-1181000000.0,505000000.0,852000000.0,5600000000.0,5933000000.0,-44000000.0,-289000000.0,1098000000.0,1098000000.0,-717000000.0,92000000.0,-1982000000.0,-1982000000.0,-1801000000.0,-1801000000.0,5506000000.0,-205000000.0,5711000000.0,-2656000000.0,8367000000.0,-3206000000.0,-3206000000.0,-7000000.0,-2079000000.0,2074000000.0,-4153000000.0,0.0,0.0,,-1120000000.0,61000000.0,-1181000000.0,1819000000.0,1819000000.0,-71000000.0,-226000000.0,-226000000.0,46000000.0,-272000000.0,-272000000.0,41000000.0,114000000.0,114000000.0,-5306000000.0,289000000.0,0.0,321000000.0,321000000.0,1363000000.0,1363000000.0,1035000000.0,1035000000.0,0.0,4188000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS,473800000.0,-305800000.0,,,-108000000.0,,,239600000.0,339900000.0,-6600000.0,-93700000.0,-408400000.0,-408400000.0,,18100000.0,-190400000.0,-190400000.0,-305800000.0,-305800000.0,69700000.0,,69700000.0,,,-267100000.0,-267100000.0,,-13200000.0,60500000.0,-73700000.0,-145900000.0,,-145900000.0,,,,581800000.0,581800000.0,-45600000.0,-38800000.0,-5900000.0,-5900000.0,,,-40500000.0,49000000.0,,,14900000.0,4700000.0,-4600000.0,-4600000.0,78800000.0,78800000.0,,0.0,,533600000.0,-108000000.0,-22400000.0,7100000.0,-32900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT,6351000000.0,-1295000000.0,-660000000.0,223000000.0,-2207000000.0,604000000.0,1723000000.0,7616000000.0,6896000000.0,-96000000.0,816000000.0,-5404000000.0,-5404000000.0,,264000000.0,-3836000000.0,-3836000000.0,-1295000000.0,-1295000000.0,-537000000.0,-100000000.0,-437000000.0,-660000000.0,223000000.0,-2338000000.0,-2338000000.0,9000000.0,-141000000.0,28000000.0,-169000000.0,1000000.0,1000000.0,0.0,-2207000000.0,,-2207000000.0,8558000000.0,8558000000.0,-9217000000.0,-7672000000.0,-7672000000.0,356000000.0,-8028000000.0,-8028000000.0,-58000000.0,-691000000.0,-691000000.0,,673000000.0,,,,3218000000.0,3218000000.0,482000000.0,,,13402000000.0,,,,,-796000000.0,1878000000.0,1878000000.0,1340000000.0,482000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBV,17832000000.0,-1708000000.0,-14621000000.0,21971000000.0,-974000000.0,2811000000.0,4064000000.0,5524000000.0,12814000000.0,-65000000.0,-7225000000.0,-5211000000.0,-5211000000.0,-42000000.0,214000000.0,-11025000000.0,-11025000000.0,-1708000000.0,-1708000000.0,7350000000.0,0.0,7350000000.0,-9613000000.0,16963000000.0,-20820000000.0,-20820000000.0,189000000.0,482000000.0,555000000.0,-73000000.0,-20517000000.0,,-20517000000.0,-974000000.0,,-974000000.0,18806000000.0,18806000000.0,-2782000000.0,177000000.0,177000000.0,177000000.0,,,-319000000.0,207000000.0,207000000.0,4470000000.0,911000000.0,4476000000.0,-1449000000.0,-1449000000.0,8386000000.0,8386000000.0,,,0.0,4286000000.0,,-3208000000.0,,,361000000.0,7622000000.0,7622000000.0,764000000.0,,-5008000000.0,5008000000.0,508000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACN,8614518000.0,-4524646000.0,-771246000.0,1599033000.0,-516509000.0,37182000.0,2386620000.0,5004469000.0,9045032000.0,-46264000.0,-3994299000.0,-6063508000.0,-6063508000.0,-543301000.0,,-3241479000.0,-3241479000.0,-3106515000.0,-4524646000.0,827787000.0,,827787000.0,-771246000.0,1599033000.0,-7061818000.0,-7061818000.0,8672000.0,,,,-6553981000.0,28721000.0,-6582702000.0,-516509000.0,,-516509000.0,9131027000.0,9131027000.0,-2158890000.0,-454183000.0,160588000.0,46512000.0,114076000.0,114076000.0,,-601935000.0,,945121000.0,1941590000.0,,-93988000.0,-93988000.0,1077997000.0,1077997000.0,,,,7419197000.0,,28401000.0,-853202000.0,-614771000.0,,530062000.0,530062000.0,547935000.0,,,,,1418131000.0,1418131000.0,-277971000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,7873000000.0,-9500000000.0,0.0,1997000000.0,-183000000.0,143000000.0,1727000000.0,7613000000.0,7141000000.0,-9000000.0,481000000.0,-7724000000.0,-7724000000.0,-582000000.0,,,,-9139000000.0,-9500000000.0,1997000000.0,,1997000000.0,0.0,1997000000.0,149000000.0,149000000.0,,332000000.0,499000000.0,-167000000.0,0.0,,0.0,-183000000.0,,-183000000.0,8056000000.0,8056000000.0,144000000.0,308000000.0,112000000.0,44000000.0,68000000.0,68000000.0,,143000000.0,143000000.0,10000000.0,1833000000.0,78000000.0,-468000000.0,-468000000.0,857000000.0,857000000.0,77000000.0,,,5560000000.0,,309000000.0,,196000000.0,-616000000.0,,,857000000.0,,,,,361000000.0,361000000.0,,-35000000.0,77000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,2405000000.0,-1590000000.0,-750000000.0,0.0,-636000000.0,72000000.0,1386000000.0,3811000000.0,3933000000.0,,-122000000.0,-2062000000.0,-2062000000.0,-1000000.0,279000000.0,,,-1590000000.0,-1590000000.0,-750000000.0,,-750000000.0,-750000000.0,0.0,-1101000000.0,-1101000000.0,-98000000.0,198000000.0,2032000000.0,-1834000000.0,-565000000.0,0.0,-565000000.0,-636000000.0,,-636000000.0,3041000000.0,3041000000.0,-2098000000.0,774000000.0,-109000000.0,-109000000.0,,,-1458000000.0,-1865000000.0,-1865000000.0,77000000.0,1407000000.0,,-1163000000.0,-1163000000.0,3177000000.0,3177000000.0,,,,1641000000.0,,108000000.0,,883000000.0,343000000.0,2393000000.0,2393000000.0,784000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES,-4640000000.0,,-10703000000.0,15492000000.0,-7392000000.0,1268000000.0,345000000.0,2039000000.0,1990000000.0,-63000000.0,112000000.0,4963000000.0,4963000000.0,657000000.0,,-483000000.0,-483000000.0,,,4789000000.0,609000000.0,4180000000.0,-4506000000.0,8686000000.0,-7700000000.0,-7700000000.0,-360000000.0,-22000000.0,796000000.0,-818000000.0,74000000.0,423000000.0,-349000000.0,,,,2752000000.0,2752000000.0,-92000000.0,-174000000.0,-174000000.0,-40000000.0,-134000000.0,-134000000.0,86000000.0,-361000000.0,-361000000.0,441000000.0,,374000000.0,111000000.0,111000000.0,1264000000.0,1264000000.0,-386000000.0,,-351000000.0,802000000.0,-7392000000.0,,-73000000.0,,269000000.0,,,,-143000000.0,-6197000000.0,6806000000.0,238000000.0,0.0,,161000000.0,,,,97000000.0,0.0,0.0,108000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,2707000000.0,-2800000000.0,-194000000.0,823000000.0,,180000000.0,1367000000.0,6229000000.0,4306000000.0,-79000000.0,2002000000.0,-3486000000.0,-3486000000.0,-242000000.0,,-1087000000.0,-1087000000.0,-2786000000.0,-2800000000.0,629000000.0,,629000000.0,-194000000.0,823000000.0,2781000000.0,2781000000.0,841000000.0,881000000.0,7990000000.0,-7109000000.0,,,,,,,2707000000.0,2707000000.0,-644000000.0,-393000000.0,-393000000.0,,-393000000.0,-393000000.0,,51000000.0,,-415000000.0,,,,,,,-1835000000.0,,,5443000000.0,,,,,,,,,462000000.0,,,,14000000.0,14000000.0,,,,,,,,-2297000000.0,-205000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,1373000000.0,-1150000000.0,-600000000.0,1197000000.0,-378000000.0,80000000.0,314000000.0,1332000000.0,1593000000.0,-2000000.0,-259000000.0,-752000000.0,-752000000.0,-42000000.0,77000000.0,-274000000.0,-274000000.0,-1150000000.0,-1150000000.0,637000000.0,40000000.0,597000000.0,-600000000.0,1197000000.0,-1258000000.0,-1258000000.0,-13000000.0,-5000000.0,0.0,-5000000.0,-862000000.0,0.0,-862000000.0,-378000000.0,,-378000000.0,1751000000.0,1751000000.0,83000000.0,103000000.0,103000000.0,103000000.0,,,34000000.0,7000000.0,7000000.0,44000000.0,129000000.0,19000000.0,-64000000.0,-64000000.0,257000000.0,257000000.0,-6000000.0,,0.0,1289000000.0,,-61000000.0,,,,,,,-6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD,-3150000000.0,,-486200000.0,4678300000.0,-6796700000.0,,,2979700000.0,1617000000.0,19800000.0,1342900000.0,2615400000.0,2615400000.0,270200000.0,7900000.0,-1564900000.0,-1564900000.0,,,3902200000.0,-289900000.0,4192100000.0,-486200000.0,4678300000.0,-4919200000.0,-4919200000.0,1548200000.0,329300000.0,470700000.0,-141400000.0,0.0,,0.0,-6796700000.0,,-6796700000.0,3646700000.0,3646700000.0,-183000000.0,-338700000.0,,,,,-137800000.0,-76600000.0,-111000000.0,300000000.0,61800000.0,,-69300000.0,-69300000.0,1451100000.0,1451100000.0,-1756000000.0,,-1518600000.0,3842100000.0,,370100000.0,,,,31500000.0,31500000.0,1419600000.0,,,,,,,,,,-206000000.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ABNB,4518000000.0,-3430000000.0,,,,2000000.0,350000000.0,12760000000.0,12667000000.0,-237000000.0,330000000.0,-3572000000.0,-3572000000.0,-310000000.0,168000000.0,,,-3430000000.0,-3430000000.0,,,,,,-616000000.0,-616000000.0,-75000000.0,-541000000.0,2605000000.0,-3146000000.0,,,,,,,4518000000.0,4518000000.0,-67000000.0,-104000000.0,,,,,,,,32000000.0,1407000000.0,0.0,433000000.0,433000000.0,65000000.0,65000000.0,,,,2648000000.0,,200000000.0,,-104000000.0,-163000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKAM,833904000.0,-557468000.0,0.0,0.0,-685267000.0,20420000.0,136322000.0,519084000.0,490470000.0,-12243000.0,40857000.0,-679635000.0,-679635000.0,-183680000.0,61513000.0,,,-557468000.0,-557468000.0,0.0,,0.0,0.0,0.0,-798679000.0,-798679000.0,-128862000.0,449516000.0,685692000.0,-236176000.0,-434066000.0,,-434066000.0,-390433000.0,,-390433000.0,1519171000.0,1519171000.0,-34342000.0,344000.0,,,,,,-22300000.0,-22300000.0,72009000.0,393378000.0,,-70268000.0,-70268000.0,648410000.0,648410000.0,5066000.0,,,504918000.0,-294834000.0,6848000.0,,,-46094000.0,,,,5066000.0,,,,,,26860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,-983722000.0,,-744273000.0,112439000.0,-1685790000.0,150689000.0,262845000.0,1192230000.0,889900000.0,-67035000.0,369365000.0,1241735000.0,1241735000.0,-52279000.0,374000.0,-311276000.0,-188530000.0,,,-631834000.0,,-631834000.0,-744273000.0,112439000.0,-1574438000.0,-1574438000.0,,82520000.0,,,-270000.0,,-270000.0,29102000.0,29102000.0,,702068000.0,702068000.0,1358319000.0,-1002336000.0,-862237000.0,-862237000.0,,,1560450000.0,555218000.0,555218000.0,406187000.0,32141000.0,,-230406000.0,-230406000.0,588638000.0,588638000.0,-706340000.0,-24653000.0,0.0,-1135477000.0,-1685790000.0,,244987000.0,-140099000.0,,,,,33746000.0,,,,2236750000.0,,,30073000.0,,-715433000.0,,2236750000.0,2236750000.0,,,,,,,,-122746000.0,358933000.0,,,,,,,,,,,,,,,,,,,,,,
ARE,1504524000.0,-50107000.0,-13110632000.0,14039325000.0,,160082000.0,,559847000.0,660771000.0,-1438000.0,-99486000.0,-93315000.0,-93315000.0,-100447000.0,,-898557000.0,-898557000.0,-23004000.0,-50107000.0,928693000.0,-100000000.0,1028693000.0,-32000.0,1028725000.0,-1510695000.0,-1510695000.0,3864000.0,-62430000.0,173927000.0,-236357000.0,-1011000.0,2916000.0,-3927000.0,,,,1504524000.0,1504524000.0,-200455000.0,-56823000.0,-56823000.0,-56823000.0,,,,1766000.0,1766000.0,-124890000.0,59634000.0,223068000.0,,,1116701000.0,1116701000.0,-83249000.0,,,510733000.0,,-108346000.0,-37052000.0,,,-85679000.0,-85679000.0,1202380000.0,-76190000.0,-13110600000.0,13010600000.0,,27103000.0,27103000.0,,,,-7059000.0,,,,,,,,,,,,2982000.0,,-1451118000.0,1220206000.0,-2671324000.0,,,,,,,,,,,,,,,,,,
ALGN,622651000.0,-352878000.0,,,-115580000.0,,177082000.0,1044963000.0,938519000.0,-21153000.0,127597000.0,-355722000.0,-355722000.0,-28125000.0,,,,-327597000.0,-352878000.0,,,,,,-254912000.0,-254912000.0,235000.0,43853000.0,43853000.0,0.0,-183420000.0,,-183420000.0,-115580000.0,,-115580000.0,738231000.0,738231000.0,-72433000.0,68583000.0,-21122000.0,-843000.0,-20279000.0,-20279000.0,25053000.0,-153487000.0,-153487000.0,50694000.0,173703000.0,-5885000.0,25756000.0,25756000.0,145034000.0,145034000.0,,,,421362000.0,,-80109000.0,,89705000.0,67527000.0,,,,,,,,25281000.0,25281000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLE,582900000.0,-220000000.0,-413300000.0,400000000.0,-92100000.0,,,503800000.0,468100000.0,-16400000.0,52100000.0,-394500000.0,-394500000.0,-8900000.0,14700000.0,-167000000.0,-167000000.0,-220000000.0,-220000000.0,-13300000.0,0.0,-13300000.0,-413300000.0,400000000.0,-228400000.0,-228400000.0,900000.0,,,,-137200000.0,,-137200000.0,,,,675000000.0,675000000.0,-24100000.0,3600000.0,3600000.0,3600000.0,,,16700000.0,-6700000.0,,-2400000.0,28200000.0,0.0,-44200000.0,-44200000.0,119000000.0,119000000.0,,,0.0,597500000.0,-92100000.0,-37700000.0,,,,,,,,0.0,0.0,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNT,1167000000.0,,-809000000.0,1613000000.0,-1224000000.0,434000000.0,,81000000.0,63000000.0,,18000000.0,398000000.0,398000000.0,-20000000.0,,-492000000.0,-492000000.0,23000000.0,,887000000.0,83000000.0,804000000.0,-809000000.0,1613000000.0,-1547000000.0,-1547000000.0,579000000.0,,,,-2126000000.0,123000000.0,-2249000000.0,-1224000000.0,,-1224000000.0,1167000000.0,1167000000.0,-216000000.0,96000000.0,96000000.0,96000000.0,,,,-547000000.0,-547000000.0,38000000.0,,,-117000000.0,-117000000.0,772000000.0,772000000.0,,,,690000000.0,,255000000.0,83000000.0,,,,,,,,,,23000000.0,23000000.0,-103000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL,8721000000.0,-2000000.0,-350000000.0,495000000.0,-210000000.0,395000000.0,,704000000.0,722000000.0,,-18000000.0,-697000000.0,-697000000.0,76000000.0,163000000.0,-1079000000.0,-962000000.0,-2000000.0,-2000000.0,145000000.0,,145000000.0,-350000000.0,495000000.0,-8252000000.0,-8252000000.0,,-7284000000.0,44458000000.0,-51742000000.0,-814000000.0,633000000.0,-1447000000.0,-192000000.0,18000000.0,-210000000.0,8931000000.0,8931000000.0,3589000000.0,,,,,,,-931000000.0,-931000000.0,,,,,,,555000000.0,174000000.0,-37000000.0,,4599000000.0,,402000000.0,,,,,,555000000.0,202000000.0,,,,0.0,,,,,9000000.0,,0.0,0.0,,,,,,,,-117000000.0,,0.0,,,,,,,,,,,,,,,,,,,,,
GOOGL,72764000000.0,-62222000000.0,-12701000000.0,13589000000.0,-52535000000.0,,,23466000000.0,24048000000.0,-612000000.0,30000000.0,-79733000000.0,-79733000000.0,1154000000.0,-12190000000.0,-7363000000.0,-7363000000.0,-62222000000.0,-62222000000.0,888000000.0,,888000000.0,-12701000000.0,13589000000.0,-45536000000.0,-45536000000.0,-2667000000.0,12597000000.0,104310000000.0,-91713000000.0,-2931000000.0,,-2931000000.0,-52535000000.0,,-52535000000.0,125299000000.0,125299000000.0,-8406000000.0,257000000.0,359000000.0,359000000.0,,,,-5891000000.0,-5891000000.0,3419000000.0,22785000000.0,,-5257000000.0,-5257000000.0,15311000000.0,15311000000.0,-2671000000.0,,,100118000000.0,,-1375000000.0,-1397000000.0,-102000000.0,,,,15311000000.0,-2671000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,72764000000.0,-62222000000.0,-12701000000.0,13589000000.0,-52535000000.0,,,23466000000.0,24048000000.0,-612000000.0,30000000.0,-79733000000.0,-79733000000.0,1154000000.0,-12190000000.0,-7363000000.0,-7363000000.0,-62222000000.0,-62222000000.0,888000000.0,,888000000.0,-12701000000.0,13589000000.0,-45536000000.0,-45536000000.0,-2667000000.0,12597000000.0,104310000000.0,-91713000000.0,-2931000000.0,,-2931000000.0,-52535000000.0,,-52535000000.0,125299000000.0,125299000000.0,-8406000000.0,257000000.0,359000000.0,359000000.0,,,,-5891000000.0,-5891000000.0,3419000000.0,22785000000.0,,-5257000000.0,-5257000000.0,15311000000.0,15311000000.0,-2671000000.0,,,100118000000.0,,-1375000000.0,-1397000000.0,-102000000.0,,,,15311000000.0,-2671000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,8611000000.0,-3400000000.0,-1121000000.0,0.0,-142000000.0,1113000000.0,1802000000.0,3158000000.0,3721000000.0,,-563000000.0,-11491000000.0,-11491000000.0,-125000000.0,,-6845000000.0,-6845000000.0,-3400000000.0,-3400000000.0,-1121000000.0,0.0,-1121000000.0,-1121000000.0,0.0,2175000000.0,2175000000.0,-36000000.0,,,,2353000000.0,2353000000.0,0.0,,,,8753000000.0,8753000000.0,151000000.0,-93000000.0,116000000.0,116000000.0,,,102000000.0,-106000000.0,,53000000.0,,389000000.0,-177000000.0,-177000000.0,286000000.0,286000000.0,-3352000000.0,,,11264000000.0,-142000000.0,248000000.0,,-209000000.0,,139000000.0,139000000.0,147000000.0,-2700000000.0,0.0,0.0,,,,,,,-652000000.0,,,,,,,,,,,,139000000.0,,,,,,,,,,,,,,,,,,,,,,
AMZN,32878000000.0,0.0,-16954000000.0,5142000000.0,-82999000000.0,2364000000.0,12308000000.0,82312000000.0,73890000000.0,-1301000000.0,9723000000.0,-11812000000.0,-11812000000.0,,,,,0.0,0.0,-11812000000.0,82000000.0,-11894000000.0,-11894000000.0,0.0,-94342000000.0,-94342000000.0,,-9602000000.0,16403000000.0,-26005000000.0,-7082000000.0,,-7082000000.0,-77658000000.0,5341000000.0,-82999000000.0,115877000000.0,115877000000.0,-15541000000.0,68000000.0,2972000000.0,2972000000.0,,,-1884000000.0,-3249000000.0,-3249000000.0,2012000000.0,22011000000.0,,-4648000000.0,-4648000000.0,52795000000.0,52795000000.0,,,,59248000000.0,,4007000000.0,-14483000000.0,-2904000000.0,,,,,,-5060000000.0,5142000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCR,810000000.0,-122000000.0,-518000000.0,2181000000.0,-580000000.0,329000000.0,261000000.0,827000000.0,588000000.0,41000000.0,198000000.0,910000000.0,910000000.0,-13000000.0,15000000.0,-845000000.0,-845000000.0,-122000000.0,-122000000.0,1875000000.0,212000000.0,1663000000.0,-518000000.0,2181000000.0,-2102000000.0,-2102000000.0,,,,,-1540000000.0,113000000.0,-1653000000.0,-562000000.0,18000000.0,-580000000.0,1390000000.0,1390000000.0,-78000000.0,267000000.0,220000000.0,220000000.0,,,0.0,-228000000.0,-228000000.0,256000000.0,74000000.0,,-125000000.0,-125000000.0,722000000.0,722000000.0,23000000.0,32000000.0,-8000000.0,518000000.0,,-75000000.0,,47000000.0,-57000000.0,,,722000000.0,,,,,,,15000000.0,,-7000000.0,-3000000.0,,,,9000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE,-1647000000.0,,-893000000.0,2535000000.0,-4410000000.0,611000000.0,,328000000.0,272000000.0,,56000000.0,1749000000.0,1749000000.0,-59000000.0,,-714000000.0,-714000000.0,273000000.0,,2249000000.0,607000000.0,1642000000.0,-893000000.0,2535000000.0,-4456000000.0,-4456000000.0,-26000000.0,-20000000.0,564000000.0,-584000000.0,,,,,,,2763000000.0,2763000000.0,-214000000.0,38000000.0,38000000.0,4000000.0,34000000.0,34000000.0,-31000000.0,-91000000.0,,30000000.0,28000000.0,,127000000.0,127000000.0,1605000000.0,1605000000.0,,,,1187000000.0,-4410000000.0,-118000000.0,-34000000.0,,,,,1605000000.0,,,,,273000000.0,273000000.0,22000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP,-966300000.0,,-3780000000.0,5840800000.0,-7770600000.0,,,246000000.0,379000000.0,,-133000000.0,659200000.0,659200000.0,-49800000.0,,-1903900000.0,-1903900000.0,552100000.0,,2060800000.0,-306400000.0,2367200000.0,-2749800000.0,5117000000.0,-7596500000.0,-7596500000.0,504100000.0,-44500000.0,2878000000.0,-2922500000.0,-285500000.0,114000000.0,-399500000.0,-139900000.0,,-139900000.0,6804300000.0,6804300000.0,510300000.0,325300000.0,325300000.0,85100000.0,240200000.0,240200000.0,171600000.0,-156000000.0,-156000000.0,-149600000.0,,142500000.0,12900000.0,12900000.0,3392800000.0,3392800000.0,-80400000.0,,0.0,2975800000.0,-7630700000.0,,-13200000.0,,,,,3392800000.0,-80400000.0,-1030200000.0,723800000.0,,552100000.0,552100000.0,182600000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,12139000000.0,-6020000000.0,-10759000000.0,12602000000.0,-1911000000.0,,,40640000000.0,46596000000.0,-40000000.0,-5916000000.0,4436000000.0,4436000000.0,,,-1999000000.0,-1999000000.0,-5920000000.0,-6020000000.0,2050000000.0,207000000.0,1843000000.0,-10759000000.0,12602000000.0,-24402000000.0,-24402000000.0,,628000000.0,2221000000.0,-1593000000.0,140000000.0,594000000.0,-454000000.0,-1911000000.0,,-1911000000.0,14050000000.0,14050000000.0,-1890000000.0,-2897000000.0,-2897000000.0,-2897000000.0,,,,,,-564000000.0,504000000.0,,-990000000.0,-990000000.0,1676000000.0,1676000000.0,,,,10129000000.0,,,1007000000.0,,,,,,,,,,100000000.0,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIG,3273000000.0,-7137000000.0,-2048000000.0,661000000.0,,858000000.0,708000000.0,1372000000.0,1573000000.0,-83000000.0,-118000000.0,-5063000000.0,-8943000000.0,605000000.0,,-1024000000.0,-1002000000.0,-6652000000.0,-6652000000.0,-1387000000.0,,-1387000000.0,-2048000000.0,661000000.0,1672000000.0,5843000000.0,-66000000.0,4785000000.0,30137000000.0,-25352000000.0,587000000.0,587000000.0,,,,,3273000000.0,3377000000.0,-2357000000.0,,,,,,,,,14000000.0,,27000000.0,,,,3597000000.0,-33000000.0,,-616000000.0,2700000000.0,,94000000.0,,,,,,,637000000.0,,,,,,,-571000000.0,,-54000000.0,,-485000000.0,,,,,,3880000000.0,-4171000000.0,-104000000.0,-22000000.0,,-485000000.0,,,,0.0,,,,,,,,,,,,,,,,,
AMT,3700500000.0,0.0,-12429600000.0,10510300000.0,-1590000000.0,1424300000.0,350800000.0,2108200000.0,2093400000.0,-233900000.0,248700000.0,-5452400000.0,-5452400000.0,-504600000.0,46400000.0,-3074900000.0,-3074900000.0,0.0,0.0,-1919300000.0,8800000.0,-1928100000.0,-12429600000.0,10501500000.0,410600000.0,410600000.0,-288400000.0,253200000.0,253200000.0,,2035800000.0,2158800000.0,-123000000.0,-1590000000.0,,-1590000000.0,5290500000.0,5290500000.0,-386500000.0,38400000.0,48000000.0,48000000.0,,,,-103400000.0,-103400000.0,54100000.0,203600000.0,96600000.0,52300000.0,52300000.0,2124800000.0,2124800000.0,865400000.0,,1245500000.0,2280200000.0,,-376200000.0,,-9600000.0,32800000.0,,,2124800000.0,-380100000.0,,8800000.0,,0.0,0.0,21900000.0,,,,,,,,,,,,,,,,,,,,,-9600000.0,,,,,,,,,,,,,,,,
AWK,-963000000.0,,-475000000.0,1437000000.0,-3008000000.0,483000000.0,,140000000.0,364000000.0,,-224000000.0,1110000000.0,1110000000.0,33000000.0,,-585000000.0,,0.0,,1662000000.0,700000000.0,962000000.0,-475000000.0,1437000000.0,-3379000000.0,-3379000000.0,,46000000.0,181000000.0,-135000000.0,-417000000.0,,-417000000.0,-152000000.0,,-152000000.0,2045000000.0,2045000000.0,40000000.0,203000000.0,203000000.0,111000000.0,92000000.0,92000000.0,,-46000000.0,-107000000.0,-18000000.0,,,156000000.0,156000000.0,788000000.0,788000000.0,-3000000.0,-3000000.0,0.0,1051000000.0,-2856000000.0,-117000000.0,,,,,,,,,,31000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
